nom;description_x;logo_x;product_types;sectors;city;site_web_x;mots_cles_x;tags;emplacement;Date dernier financement;Série;Montant
INVENTY;"Inventy est une scale up de technologies innovantes qui a conçu la première plateforme Big Data d’amélioration continue des des solutions SAP. Combinant analyse prédictive et aide à la prise de décision, PERFORMER démontre factuellement l’usage et la valeur des solutions SAP et permet ensuite à nos clients d’évaluer les meilleurs scénarios d’amélioration continue et de transformation digitale.
Inventy c'est plus de 2000% de croissance.

#bigdata #AI #Information Technology";https://upload.prd.hbd.cloud.bpifrance.fr/482657ea-12d1-49bc-b558-0477f06d0e19.png;['B2B', 'Saas', '', '', '', '', '', '', '', '', '', '', ''];['B2B', 'Saas', '', '', '', '', '', '', '', '', '', '', ''];;http://www.inventy.com/;[];;;;;
360LEARNING;360Learning permet aux équipes Formation de piloter la culture et décupler la croissance de l’entreprise grâce au Collaborative Learning. La plateforme 360Learning intègre le pouvoir du collaboratif au cœur d’un LMS moderne pour miser sur l'intelligence c;https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/Bkb9pRSrf.com/t_api_images/zytnyamafdibqioanwon;['', '', '', '', '', '', '', '', '', '', '', ''];['', '', '', '', '', '', '', '', '', '', '', ''];;https://fr.360learning.com/;['#Education', '#EdTech', '#MOOC', '#Communities', '#Corporate Training'];;;;;
KLAXOON;Une suite unique de 10 outils de collaboration visuelle, Klaxoon démultiplie l'engagement de tous, en réunion et en dehors, augmente la productivité et favorise un environnement de travail innovant.;https://upload.prd.hbd.cloud.bpifrance.fr/08f86c7c-229e-44c4-ab28-6b5d0c3e885a.png;['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ''];['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ''];;https://klaxoon.com/fr/;['#EdTech', '#E-Learning', '#gestion de projet', '#réunion', '#formation'];;;;;
WELCOME TO THE JUNGLE;"Welcome to the Jungle est le média de référence sur le travail qui a pour mission d’accompagner chaque personne dans son développement professionnel. Le média propose de nombreux types de contenus créés avec l’objectif d’aider chacun à trouver du sens au travail.
Le site rassemble aussi plus de 2 500 profils d'entreprises, chacune mise en avant avec du contenu exclusif afin de permettre aux candidats de se projeter et de choisir l’entreprise qui leur correspond.";https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/013d5e38-42f7-4b36-98c7-aa60e5237a56;['', '', '', '', '', '', '', '', '', '', '', '', '', ''];['', '', '', '', '', '', '', '', '', '', '', '', '', ''];;https://www.welcometothejungle.com/fr;['#Staffing Agency', '#SaaS', '#Human Resources'];;;05.01.18;Série A;7.0 M€
SIGHTCALL;"SightCall est le leader mondial de l’Augmented Reality powered Video Assistance, qui permet une interaction vidéo en 1 clic vers tout terminal, enrichie de nombreuses fonctionnalités immersives.

#Industrie40 #visioassistance #sinistre #fieldservice #CX #videosupport #AR #insurance #assurance #insurtech #videoclaims #webrtc #support #IntelligentEnterprise #AugmentedReality #insurers #visualsupport #mobilite #custserv #livevideo #CustomerService #innovation #salesforce #servicemax #ge #accenture";https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/18dc8d3d-3f29-421d-b017-2871a55098ca;['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ''];['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ''];;https://sightcall.com/fr/;[];;;05.01.21;Série B;38.0 M€
PITCHY;"Pitchy est la première solution de montage vidéo en ligne adressée aux entreprises et organisations qui permet de créer des vidéos en illimité avec une qualité professionnelle sans que cela ne nécessite des compétences techniques.
 
 Aujourd'hui, Pitchy acc";https://upload.prd.hbd.cloud.bpifrance.fr/9f6eb943-fc65-45a6-b0d3-76d5c932d1ca;['', '', '', '', '', '', '', ''];['', '', '', '', '', '', '', ''];;https://www.pitchy.fr/;['#Photography', '#Video'];;;;;
GEOCONCEPT;"GEOCONCEPT développe des solutions innovantes de géoptimisation à forte valeur ajoutée permettant d’intégrer l’intelligence géographique au sein des systèmes d’information.
Reconnu comme acteur majeur du Field Service Management et du Vehicle Routing & Scheduling par Gartner, GEOCONCEPT se positionne aujourd’hui parmi les leaders mondiaux des applications d’optimisation géographique pour les entreprises et optimise les déplacements quotidiens de plus de 150 000 ressources dans le monde.";https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/rJcBAyw8z.jpeg;['B2B', '', '', '', '', '', '', '', ''];['B2B', '', '', '', '', '', '', '', ''];;https://fr.geoconcept.com/;['#data', '#geomarketing'];;;;;
CLIC AND WALK;"450 000 consommateurs en Europe collectent pour vous ET en temps réel, via notre application Clic and Walk toutes les données commerciales et Marketing offline accompagnées d’images dont vous avez besoin pour Piloter votre Business.

Home Data, Store Data, Street Data : Bénéficiez de la vision consommateur.";https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/12c24aa9-4029-4407-b856-a95c111b5b27;['Software', 'Immobilier', 'Retail / E-Commerce', 'Telecommunications', '', '', '', '', '', '', '', '', ''];['Software', 'Immobilier', 'Retail / E-Commerce', 'Telecommunications', '', '', '', '', '', '', '', '', ''];;;[];;;;;
TECHNIWOOD INTERNATIONAL;"L'ambition de Techniwood est d’apporter des solutions industrialisées d’excellence pour la construction durable bas carbone : panneaux bois, isolants, parements, menuiseries... grâce aux technologies Ossature Bois, Charpente, CLT et le système innovant Panobloc de qualité inégalée répondant à une triple Performance : Economique, Ecologique et Energétique. 

#cleantech";https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/8fdc8e88-ecba-44f4-831b-4275721b4f52;['', '', '', '', '', '', '', '', '', '', ''];['', '', '', '', '', '', '', '', '', '', ''];;http://www.techniwood.fr/;['#Construction', '#Manufacturing', '#fabrication', '#logements'];;;;;
APPLIED TECHNOLOGIES INTERNET;"AT Internet, acteur mondial dans le domaine du Digital Analytics depuis 1996, aide les entreprises à mesurer leur audience et optimiser leur performance digitale sur tous les canaux marketing. AT Internet mesure plus de 20 000 sites et applications à travers le monde dans tous les secteurs d’activité. Avec plus de 200 collaborateurs, elle est présente à l’international via ses bureaux, clients et partenaires.

#digitalanalytics #webanalytics #bigdata #dataviz #API #software";https://upload.prd.hbd.cloud.bpifrance.fr/50b46c5b-a9c1-4a39-9194-db1fb7f1d751.jpeg;['', '', '', '', '', '', '', '', '', '', '', '', '', ''];['', '', '', '', '', '', '', '', '', '', '', '', '', ''];;;['#Ad Server', '#Software', '#data'];;;;;
